iter	RMSE
0	77820.04197
1	76981.43944
2	76276.29764
3	75700.29975
4	75214.55245
5	74794.75265
6	74455.73757
7	74167.74047
8	73919.43072
9	73708.35414
10	73536.93516
11	73391.15333
12	73263.15872
13	73147.488
14	73051.88798
15	72956.35475
16	72883.24059
17	72819.06017
18	72762.96312
19	72721.18611
20	72679.52358
21	72637.08182
22	72594.32542
23	72558.38497
24	72532.01192
25	72498.54257
26	72468.59993
27	72432.61458
28	72414.52013
29	72359.45886
30	72341.9391
31	72318.88006
32	72293.24227
33	72262.3852
34	72244.67204
35	72227.08161
36	72198.02246
37	72178.10694
38	72166.9137
39	72154.98151
40	72121.66813
41	72106.84302
42	72082.69338
43	72073.6408
44	72046.92558
45	72038.23236
46	72022.56585
47	72005.26465
48	71993.84391
49	71974.43725
50	71955.89532
51	71944.12138
52	71927.47421
53	71920.79703
54	71902.70909
55	71877.91154
56	71866.86933
57	71853.5133
58	71835.47768
59	71820.43247
60	71805.26452
61	71789.58161
62	71776.17465
63	71766.36341
64	71746.80331
65	71724.44613
66	71694.70303
67	71686.40782
68	71679.21621
69	71664.08273
70	71660.02595
71	71629.98389
72	71603.68682
73	71591.00779
74	71581.84158
75	71558.70122
76	71542.47675
77	71537.45946
78	71521.42973
79	71513.80908
80	71499.39362
81	71483.39796
82	71469.38509
83	71452.80585
84	71427.38986
85	71418.81026
86	71388.92496
87	71361.12621
88	71348.86193
89	71336.92033
90	71329.35308
91	71313.85882
92	71307.74236
93	71296.45256
94	71287.39776
95	71267.02765
96	71253.46975
97	71237.88437
98	71232.36136
99	71213.61853
100	71193.11379
101	71186.37772
102	71174.72925
103	71159.98316
104	71143.38742
105	71138.26376
106	71120.99165
107	71112.57923
108	71106.98842
109	71098.54349
110	71072.24634
111	71062.87749
112	71053.229
113	71046.24513
114	71035.80782
115	70988.53158
116	70974.3902
117	70965.35846
118	70954.84514
119	70944.61866
120	70920.47034
121	70897.55927
122	70878.5339
123	70871.62726
124	70845.58857
125	70829.79021
126	70819.43772
127	70812.48732
128	70801.5266
129	70794.14283
130	70774.97456
131	70770.09346
132	70756.57797
133	70744.45618
134	70721.80364
135	70712.2463
136	70694.68277
137	70683.75578
138	70662.32635
139	70654.5553
140	70633.08527
141	70620.95861
142	70609.49788
143	70589.79643
144	70577.06092
145	70562.40444
146	70558.59581
147	70538.13177
148	70517.82523
149	70511.34674
150	70492.40724
151	70484.22748
152	70469.77549
153	70463.55267
154	70455.82445
155	70438.12362
156	70421.05588
157	70404.94741
158	70386.53781
159	70380.4947
160	70356.59052
161	70345.44882
162	70329.22311
163	70322.21848
164	70309.80209
165	70294.50209
166	70265.63721
167	70250.62982
168	70240.88467
169	70211.10929
170	70186.73648
171	70181.06818
172	70171.72901
173	70166.40858
174	70151.96163
175	70139.62313
176	70120.49447
177	70115.48875
178	70109.04418
179	70086.50146
180	70075.78879
181	70062.06109
182	70048.90171
183	70035.59105
184	70031.03458
185	70003.39547
186	69998.83391
187	69994.53795
188	69988.48271
189	69966.86904
190	69956.54836
191	69952.5192
192	69940.03957
193	69932.48639
194	69921.12081
195	69911.85072
196	69904.11673
197	69898.47618
198	69889.20538
199	69877.20462
200	69873.17812
201	69863.47184
202	69855.29656
203	69841.60512
204	69827.68336
205	69801.11028
206	69789.71578
207	69779.96968
208	69771.18466
209	69766.96018
210	69730.85564
211	69718.32053
212	69708.39358
213	69693.04439
214	69680.97505
215	69677.76981
216	69671.08389
217	69667.38021
218	69663.9031
219	69652.50937
220	69642.88144
221	69636.65195
222	69623.4934
223	69605.85279
224	69582.77155
225	69576.59399
226	69561.30703
227	69553.49272
228	69550.45982
229	69544.12156
230	69538.71788
231	69527.48793
232	69520.90769
233	69512.01798
234	69501.16095
235	69479.25551
236	69471.84031
237	69464.07972
238	69458.42958
239	69452.36505
240	69445.64639
241	69431.17751
242	69426.15659
243	69420.40715
244	69410.21605
245	69401.3453
246	69391.32304
247	69377.25664
248	69366.7471
249	69355.38712
250	69342.00068
251	69330.37114
252	69313.04329
253	69307.40153
254	69296.51749
255	69286.82909
256	69275.2762
257	69256.1946
258	69252.01813
259	69245.05094
260	69242.17108
261	69233.05878
262	69217.46077
263	69206.57357
264	69191.98765
265	69188.82488
266	69185.32733
267	69180.49416
268	69169.62434
269	69159.61188
270	69144.47947
271	69137.87101
272	69129.06371
273	69122.42126
274	69116.19843
275	69110.22314
276	69105.33484
277	69100.6911
278	69097.63253
279	69089.75236
280	69084.91891
281	69066.95714
282	69030.87649
283	69025.15944
284	69022.26835
285	69019.26204
286	69009.6944
287	69003.4358
288	69000.58872
289	68984.68289
290	68978.5846
291	68961.45683
292	68933.2276
293	68923.37575
294	68915.11041
295	68901.0345
296	68898.31321
297	68892.63051
298	68873.63936
299	68864.23876
300	68861.52081
301	68856.00757
302	68836.62752
303	68827.14838
304	68813.61203
305	68793.77478
306	68782.11925
307	68777.94717
308	68770.3434
309	68766.38676
310	68756.21833
311	68747.24175
312	68740.33436
313	68737.88384
314	68735.297
315	68726.82535
316	68721.22869
317	68717.46138
318	68712.24084
319	68705.77007
320	68691.00364
321	68681.80705
322	68665.8371
323	68658.46786
324	68643.22275
325	68635.16148
326	68628.25174
327	68623.55382
328	68611.14255
329	68608.02749
330	68598.58778
331	68596.12997
332	68591.55225
333	68578.14326
334	68569.25389
335	68565.67406
336	68560.02682
337	68545.03603
338	68537.64097
339	68530.50409
340	68517.43501
341	68513.74455
342	68509.26572
343	68502.89421
344	68488.66922
345	68481.64138
346	68473.78608
347	68463.54445
348	68459.30218
349	68453.20005
350	68450.82504
351	68435.81071
352	68425.53342
353	68420.70664
354	68408.57177
355	68402.55863
356	68399.05326
357	68389.50378
358	68378.04057
359	68371.81865
360	68361.55753
361	68341.38637
362	68328.46059
363	68322.45556
364	68314.05767
365	68307.39901
366	68305.09511
367	68288.32768
368	68284.05686
369	68269.13693
370	68257.59107
371	68239.25971
372	68228.84482
373	68223.32548
374	68218.12673
375	68211.42278
376	68203.05819
377	68199.32335
378	68191.99498
379	68183.09166
380	68178.71316
381	68172.94177
382	68169.39143
383	68151.87878
384	68140.08578
385	68135.09869
386	68127.9113
387	68125.74385
388	68116.825
389	68111.11831
390	68106.43179
391	68104.15837
392	68099.41697
393	68088.81363
394	68084.84892
395	68080.76577
396	68071.30751
397	68061.62158
398	68056.14238
399	68046.24113
400	68041.26139
401	68027.64583
402	68024.80354
403	68019.29128
404	68013.38133
405	67996.54767
406	67965.89435
407	67951.94956
408	67948.63046
409	67943.57234
410	67934.20257
411	67930.52948
412	67926.93609
413	67921.81313
414	67911.6925
415	67901.81951
416	67891.35216
417	67886.67932
418	67882.05309
419	67878.90888
420	67876.93284
421	67870.08293
422	67867.15167
423	67853.68496
424	67849.62385
425	67841.72381
426	67827.71306
427	67821.62124
428	67815.21529
429	67800.74374
430	67791.48893
431	67789.50124
432	67773.12354
433	67762.43227
434	67757.65383
435	67752.59358
436	67747.43307
437	67742.80548
438	67724.70995
439	67712.56167
440	67701.0168
441	67695.10799
442	67677.78711
443	67673.34499
444	67664.40154
445	67653.38476
446	67647.36214
447	67641.22868
448	67632.22044
449	67628.18858
450	67614.42332
451	67612.24393
452	67608.53911
453	67597.53948
454	67595.65104
455	67586.3297
456	67575.61263
457	67553.39415
458	67551.326
459	67544.93306
460	67538.21994
461	67529.77269
462	67521.14782
463	67517.58752
464	67515.61631
465	67448.9592
466	67433.56395
467	67422.99718
468	67415.94957
469	67407.49843
470	67401.41197
471	67377.39531
472	67375.5424
473	67369.55903
474	67349.17545
475	67347.48528
476	67343.32517
477	67337.65342
478	67321.49159
479	67313.97594
480	67310.27006
481	67300.69787
482	67291.48962
483	67272.56873
484	67265.52791
485	67240.80208
486	67232.79856
487	67217.83143
488	67207.63432
489	67200.63938
490	67187.74022
491	67186.16807
492	67177.69095
493	67165.16709
494	67156.78286
495	67141.72241
496	67118.47383
497	67112.17142
498	67097.53812
499	67094.62059
